"","Date","Lat","Lon","Dep","M"
"1","11/29/2018",-8.83,109.77,63,4.5
"2","11/29/2018",-7.93,107.27,14,3.1
"3","11/29/2018",-8.62,110.78,10,3.4
"4","11/28/2018",-7.8,106.4,29,3.9
"5","11/25/2018",-8.46,109.62,26,3.7
"6","11/22/2018",-8.06,107.86,24,3.7
"7","11/21/2018",-8.78,112.42,116,3.1
"8","11/18/2018",-8.68,112.52,35,3
"9","11/18/2018",-7.44,106.18,36,3.5
"10","11/15/2018",-7.87,106.49,22,3.2
"11","11/15/2018",-6.17,108.06,302,4.1
"12","11/14/2018",-7.53,107,100,4.1
"13","11/12/2018",-7.6,106.57,70,3.1
"14","11/11/2018",-8.87,110.36,20,3.3
"15","11/10/2018",-7.78,106.41,10,3.7
"16","11/8/2018",-7.32,105.32,10,4.4
"17","11/6/2018",-7.86,106.85,11,3.3
"18","11/6/2018",-8.8,110.86,18,3.2
"19","11/6/2018",-8.6,111.3,20,3.2
"20","11/4/2018",-8.93,111.24,11,3.4
"21","11/3/2018",-6.29,110.3,554,3.8
"22","10/31/2018",-8.96,109.83,22,3.2
"23","10/31/2018",-6.82,106.24,28,3.4
"24","10/29/2018",-7.11,105.89,56,3.7
"25","10/29/2018",-8.57,107.54,10,3.8
"26","10/27/2018",-7.48,111.89,14,3.5
"27","10/27/2018",-8.48,111.58,80,3.5
"28","10/25/2018",-6.29,106,183,4.7
"29","10/24/2018",-6.03,107.27,301,4.1
"30","10/24/2018",-8.4,107.71,10,3.7
"31","10/23/2018",-8.12,109.17,73,3.2
"32","10/23/2018",-7.81,107.06,10,3.1
"33","10/23/2018",-7.69,113.6,11,3.3
"34","10/22/2018",-8.19,107.35,25,4.1
"35","10/19/2018",-7.21,107.19,15,3.2
"36","10/17/2018",-8.55,108.61,49,3.6
"37","10/15/2018",-7.98,107.24,10,3.2
"38","10/14/2018",-7.25,105.31,10,3.8
"39","10/12/2018",-8.64,112.33,111,3.5
"40","10/11/2018",-7.21,106.45,114,3.8
"41","10/10/2018",-7.22,105.06,24,4.4
"42","10/9/2018",-6.16,113.13,567,4.6
"43","10/7/2018",-8.88,110.24,25,3.5
"44","10/7/2018",-8.05,107.03,10,3.6
"45","10/6/2018",-7.92,107.1,27,3.8
"46","10/4/2018",-8.37,107.88,10,3.3
"47","10/3/2018",-8.81,110.29,25,3.6
"48","9/30/2018",-6.8,108.47,10,3.3
"49","9/29/2018",-8.1,107.37,10,3.1
"50","9/28/2018",-8.72,112.27,30,3.3
"51","9/26/2018",-8.66,110.1,14,3.3
"52","9/26/2018",-8.97,108.54,22,3.5
"53","9/24/2018",-6.17,107.14,266,4.6
"54","9/24/2018",-8.61,108.14,10,3.7
