"","X","jml_art","atap","dinding","lantai","fasbab","penerangan","airminum","miskin","ltkapita"
"1",1,3,1,1,1,1,1,1,2,24
"2",2,6,2,3,1,1,2,2,1,8
"4",4,6,1,1,1,1,1,1,2,15
"5",5,5,1,1,1,1,1,1,2,14.4
"6",6,2,1,1,1,1,1,1,2,10
"7",7,4,1,3,2,1,1,1,1,8.75
"8",8,4,1,2,2,1,1,1,2,27
"9",9,5,2,4,2,1,2,2,1,6
"10",10,1,1,1,1,1,1,1,2,120
"11",11,8,1,1,1,1,1,1,1,7.5
"12",12,4,1,4,1,1,2,2,1,9
"13",13,3,1,1,1,1,1,1,2,48
"15",15,5,1,1,1,1,1,1,2,15.6
"16",16,3,1,1,1,1,1,1,2,35
"17",17,3,1,1,1,1,1,1,2,40
"19",19,3,1,1,1,1,1,1,2,80
"20",20,7,2,4,2,1,1,1,1,7.71
"21",21,4,1,3,2,1,2,1,1,8.5
"23",23,5,1,3,1,1,1,2,1,4.8
"24",24,5,1,2,2,2,2,2,1,7
"26",26,3,1,1,1,1,1,1,2,46.67
"27",27,5,2,3,2,1,2,2,1,9
"28",28,3,2,4,1,1,1,2,1,9
"30",30,3,1,1,1,1,1,1,2,26.67
"31",31,4,1,4,2,1,1,1,1,8.75
"32",32,4,1,1,2,1,1,1,2,150
"34",34,3,1,3,1,1,1,1,1,6.67
"35",35,5,2,4,2,1,1,2,1,5
"36",36,4,1,1,1,1,1,1,2,10.5
"37",37,1,1,3,2,2,1,1,1,30
"38",38,5,1,1,1,1,1,1,2,27
"39",39,5,1,4,2,1,1,1,2,10
"40",40,1,1,4,2,1,1,1,1,20
"42",42,4,2,4,1,2,2,2,1,8
"43",43,4,1,4,1,1,1,1,1,11.25
"46",46,6,1,1,1,1,1,1,2,13.33
"47",47,4,1,4,1,1,1,1,1,8.75
"48",48,4,1,1,1,1,1,1,2,17.5
"49",49,9,1,3,1,2,1,1,1,4.67
"50",50,4,1,4,2,1,1,2,1,7.5
"51",51,3,1,1,1,1,1,1,2,12
"52",52,5,1,4,1,1,2,2,1,8
"53",53,2,2,3,1,2,2,2,1,6
"55",55,3,1,3,1,2,1,1,1,6.67
"56",56,3,2,2,2,1,1,1,2,19.33
"57",57,2,1,1,1,1,1,1,2,36
"58",58,1,1,1,1,1,1,1,2,119
"59",59,2,1,1,1,1,1,1,2,42
"60",60,4,1,4,1,1,2,1,1,9
"61",61,5,1,4,2,1,1,2,2,12
"62",62,6,1,1,2,1,1,1,2,13.33
"64",64,4,1,2,2,1,1,1,2,75
"65",65,3,1,1,1,1,1,1,2,66.67
"66",66,4,1,1,1,1,1,1,2,57.5
"67",67,3,1,1,1,1,1,1,2,50
"68",68,4,1,2,2,2,1,1,2,12.25
"69",69,3,1,1,1,1,1,1,2,34
"71",71,4,1,4,1,2,1,1,1,7.5
"72",72,6,1,4,2,1,2,2,2,5
"74",74,3,1,1,1,1,1,1,2,44
"75",75,1,1,1,1,1,1,1,2,360
"76",76,1,1,1,1,2,1,1,2,20
"77",77,5,1,2,2,2,1,1,2,13
"80",80,4,1,1,2,1,1,1,2,20
"81",81,2,1,1,1,1,1,1,2,90
"82",82,4,1,1,2,2,1,1,2,12.5
"83",83,4,1,1,2,1,1,1,2,11.25
"84",84,3,1,1,1,2,1,1,2,16.67
"85",85,2,1,1,1,2,1,1,2,22.5
"86",86,5,1,1,1,1,1,1,2,24
"87",87,4,1,1,1,2,1,1,2,18.75
"88",88,4,1,4,2,2,2,1,1,9
"90",90,4,1,1,2,1,1,1,2,12
"92",92,3,1,1,1,1,1,1,2,66.67
"93",93,2,1,1,2,4,1,1,2,21
"95",95,2,1,1,2,1,1,1,2,21
