no_sampel,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Inc,Loan_Amount,Term,Credit_History,Area,Status
1,Male,No,0,Graduate,No,584900,0,15000000,360,1,Urban,Y
2,Male,Yes,1,Graduate,No,458300,150800,12800000,360,1,Rural,N
3,Male,Yes,0,Graduate,Yes,300000,0,6600000,360,1,Urban,Y
4,Male,Yes,0,Not Graduate,No,258300,235800,12000000,360,1,Urban,Y
5,Male,No,0,Graduate,No,600000,0,14100000,360,1,Urban,Y
6,Male,Yes,2,Graduate,Yes,541700,419600,26700000,360,1,Urban,Y
7,Male,Yes,0,Not Graduate,No,233300,151600,9500000,360,1,Urban,Y
8,Male,Yes,3,Graduate,No,303600,250400,15800000,360,0,Rural,N
9,Male,Yes,2,Graduate,No,400600,152600,16800000,360,1,Urban,Y
10,Male,Yes,1,Graduate,No,1284100,1096800,34900000,360,1,Rural,N
11,Male,Yes,2,Graduate,No,320000,70000,7000000,360,1,Urban,Y
12,Male,Yes,2,Graduate,Yes,250000,184000,10900000,360,1,Urban,Y
13,Male,Yes,2,Graduate,No,307300,810600,20000000,360,1,Urban,Y
14,Male,No,0,Graduate,No,185300,284000,11400000,360,1,Rural,N
15,Male,Yes,2,Graduate,No,129900,108600,1700000,120,1,Urban,Y
16,Male,No,0,Graduate,No,495000,0,12500000,360,1,Urban,Y
17,Male,No,1,Not Graduate,No,359600,0,10000000,240,NA,Urban,Y
18,Female,No,0,Graduate,No,351000,0,7600000,360,0,Urban,N
19,Male,Yes,0,Not Graduate,No,488700,0,13300000,360,1,Rural,N
20,Male,Yes,0,Graduate,Yes,260000,350000,11500000,NA,1,Urban,Y
21,Male,Yes,0,Not Graduate,No,766000,0,10400000,360,0,Urban,N
22,Male,Yes,1,Graduate,No,595500,562500,31500000,360,1,Urban,Y
23,Male,Yes,0,Not Graduate,No,260000,191100,11600000,360,0,Rural,N
24,Male,Yes,2,Not Graduate,No,336500,191700,11200000,360,0,Rural,N
25,Male,Yes,1,Graduate,No,371700,292500,15100000,360,NA,Rural,N
26,Male,Yes,0,Graduate,Yes,956000,0,19100000,360,1,Rural,Y
27,Male,Yes,0,Graduate,No,279900,225300,12200000,360,1,Rural,Y
29,Male,No,0,Not Graduate,No,144200,0,3500000,360,1,Urban,N
30,Female,No,2,Graduate,Yes,375000,208300,12000000,360,1,Rural,Y
31,Male,Yes,1,Graduate,No,416600,336900,20100000,360,NA,Urban,N
32,Male,No,0,Graduate,No,316700,0,7400000,360,1,Urban,N
33,Male,No,1,Graduate,Yes,469200,0,10600000,360,1,Rural,N
34,Male,Yes,0,Graduate,No,350000,166700,11400000,360,1,Rural,Y
36,Male,Yes,0,Graduate,No,227500,206700,0,360,1,Urban,Y
37,Male,Yes,0,Graduate,No,182800,133000,10000000,NA,0,Urban,N
38,Female,Yes,0,Graduate,No,366700,145900,14400000,360,1,Rural,Y
39,Male,No,0,Graduate,No,416600,721000,18400000,360,1,Urban,Y
40,Male,No,0,Not Graduate,No,374800,166800,11000000,360,1,Rural,Y
41,Male,No,0,Graduate,No,360000,0,8000000,360,1,Urban,N
42,Male,No,0,Graduate,No,180000,121300,4700000,360,1,Urban,Y
43,Male,Yes,0,Graduate,No,240000,0,7500000,360,NA,Urban,Y
44,Male,Yes,0,Graduate,No,394100,233600,13400000,360,1,Rural,Y
45,Male,Yes,0,Not Graduate,Yes,469500,0,9600000,NA,1,Urban,Y
46,Female,No,0,Graduate,No,341000,0,8800000,NA,1,Urban,Y
47,Male,Yes,1,Graduate,No,564900,0,4400000,360,1,Urban,Y
48,Male,Yes,0,Graduate,No,582100,0,14400000,360,1,Urban,Y
49,Female,Yes,0,Graduate,No,264500,344000,12000000,360,0,Urban,N
50,Female,No,0,Graduate,No,400000,227500,14400000,360,1,Rural,Y
51,Female,Yes,0,Not Graduate,No,192800,164400,10000000,360,1,Rural,Y
52,Female,No,0,Graduate,No,308600,0,12000000,360,1,Rural,Y
53,Female,No,0,Graduate,No,423000,0,11200000,360,1,Rural,N
54,Male,Yes,2,Graduate,No,461600,0,13400000,360,1,Urban,N
55,Female,Yes,1,Graduate,Yes,1150000,0,28600000,360,0,Urban,N
56,Male,Yes,2,Graduate,No,270800,116700,9700000,360,1,Rural,Y
57,Male,Yes,0,Graduate,No,213200,159100,9600000,360,1,Rural,Y
58,Male,Yes,0,Graduate,No,336600,220000,13500000,360,1,Rural,N
59,Male,Yes,1,Graduate,No,808000,225000,18000000,360,1,Urban,Y
60,Male,Yes,2,Not Graduate,No,335700,285900,14400000,360,1,Urban,Y
61,Male,Yes,0,Graduate,No,250000,379600,12000000,360,1,Urban,Y
62,Male,Yes,4,Graduate,No,302900,0,9900000,360,1,Urban,Y
63,Male,Yes,0,Not Graduate,Yes,260900,344900,16500000,180,0,Rural,N
64,Male,Yes,1,Graduate,No,494500,0,0,360,0,Rural,N
65,Female,No,0,Graduate,No,416600,0,11600000,360,0,Rural,N
66,Male,Yes,0,Graduate,No,572600,459500,25800000,360,1,Rural,N
67,Male,No,0,Not Graduate,No,320000,225400,12600000,180,0,Urban,N
68,Male,Yes,1,Graduate,No,1075000,0,31200000,360,1,Urban,Y
70,Female,No,0,Graduate,No,430000,0,13600000,360,0,Rural,N
71,Male,Yes,0,Graduate,No,320800,306600,17200000,360,1,Urban,Y
72,Male,Yes,2,Not Graduate,Yes,187500,187500,9700000,360,1,Rural,Y
73,Male,No,0,Graduate,No,350000,0,8100000,300,1,Rural,Y
74,Male,Yes,5,Not Graduate,No,475500,0,9500000,NA,0,Rural,N
75,Male,Yes,6,Graduate,Yes,526600,177400,18700000,360,1,Rural,Y
76,Male,No,0,Graduate,No,375000,0,11300000,480,1,Urban,N
77,Male,No,0,Graduate,No,375000,475000,17600000,360,1,Urban,N
78,Male,Yes,1,Graduate,Yes,100000,302200,11000000,360,1,Urban,N
79,Male,Yes,3,Graduate,No,316700,4.00E+05,18000000,300,0,Rural,N
80,Male,Yes,3,Not Graduate,Yes,333300,216600,13000000,360,NA,Rural,Y
81,Female,No,0,Graduate,No,384600,0,11100000,360,1,Rural,Y
82,Male,Yes,1,Graduate,Yes,239500,0,0,360,1,Rural,Y
83,Female,Yes,2,Graduate,No,137800,188100,16700000,360,1,Urban,N
84,Male,Yes,0,Graduate,No,600000,225000,26500000,360,NA,Rural,N
85,Male,Yes,1,Graduate,No,398800,0,5000000,240,1,Urban,Y
86,Male,No,0,Graduate,No,236600,253100,13600000,360,1,Rural,Y
87,Male,Yes,2,Not Graduate,No,333300,2.00E+05,9900000,360,NA,Rural,Y
88,Male,Yes,0,Graduate,No,250000,211800,10400000,360,1,Rural,Y
89,Male,No,0,Graduate,No,856600,0,21000000,360,1,Urban,Y
90,Male,Yes,0,Graduate,No,569500,416700,17500000,360,1,Rural,Y
91,Male,Yes,0,Graduate,No,295800,290000,13100000,360,1,Rural,Y
92,Male,Yes,2,Graduate,No,625000,565400,18800000,180,1,Rural,Y
