Kodekec;pengeluaran_perkapita;PT_N;JumlahPondok;JumlahMontir;JumlahBAsing;JumlahPoskesdes;R1206EK2;var;ntl.18;ntl.19;ntl.20;ntl.21;lst_mean;lst_median;lst.celcius;ycap.1;ycap.2;ycap.3b;ycap.4b;ycap.6b
3201010;676805,0452;0;109;0;1;0;11;3249084595;0,588761688;0,636585811;0,642082837;0,714143253;14935,00501;14961,40822;26,078;688934,6731;685467,1186;675644,736;682105,3275;685310,2829
3201020;617728,2724;0;85;0;1;12;22;5488510678;1,037418688;1,163500042;1,085578957;1,248054068;15041,63739;15055,37682;27,958;642514,7353;640370,8589;629560,9999;638109,738;639463,0043
3201021;640794,2838;0;110;0;0;2;8;4647399461;1,569801232;1,759608725;1,685479781;1,902558231;15141,63757;15149,71429;29,844;654855,9938;660809,9672;657881,9359;661437,8935;660939,1333
3201030;706154,7126;0;219;0;0;8;12;7345598936;0,976515802;1,058227734;1,010099449;1,206028995;14974,69911;14969,2;26,234;691226,4566;723191,5642;702076,7159;716093,263;702376,2694
3201040;874184,1043;0;67;0;0;2;25;15169440253;2,725377566;3,275324512;2,931479138;3,391338625;15242,86082;15241,5;31,680;908214,9966;887503,5927;907212,054;893969,0637;902905,7947
3201050;1070016,35;0;69;0;3;5;25;29017757535;3,800901079;4,520113714;4,1483336;4,736980827;15272,09273;15273,26404;32,315;1071121,487;1039052,788;1083177,57;1049540,352;1056562,905
3201051;616714,3796;0;51;0;1;3;3;13979704762;1,5308596;1,731189675;1,648625669;2,004266424;15058,92704;15114;29,130;676129,2233;672788,5285;658025,3934;671578,7239;678094,4476
3201060;1577636,733;0;59;0;3;1;11;1,08367E+11;4,564422797;5,30363253;4,91108269;5,440493996;15264,37798;15266,66667;32,183;1214086,502;1197289,317;1298667,25;1209230,376;1200998,039
3201070;1383323,347;0;56;0;3;2;48;27701862258;7,656037525;8,748330284;8,178514131;8,857929109;15319,0819;15329,66667;33,443;1357287,679;1315536,391;1334026,604;1321792,941;1337731,652
3201071;1200207,145;0;29;0;0;2;14;4131843215;2,474026297;2,989725107;2,789521332;3,32514607;15076,31654;15153,20787;29,914;1187572,011;1177522,461;1186356,067;1176860,606;1178009,198
3201080;1141124,498;0;111;0;0;3;12;37110117756;1,971128274;2,242938661;2,050898495;2,538292557;15033,42464;15098;28,810;1019144,725;1030437,132;1045600,106;1021220,62;1005954,868
3201081;625682,0494;0;89;1;2;0;16;5677645943;2,556392058;3,025306131;2,625432914;2,830648352;15050,06455;15096,66667;28,783;660953,5539;657005,0425;641720,0498;655134,1331;662413,2274
3201090;1166787,309;1;146;1;2;0;22;10250276133;1,973816072;2,546001741;2,336095422;2,742247121;15023,43094;15090;28,650;1147308,545;1117529,569;1127475,17;1112967,238;1124924,385
3201100;1191290,609;0;100;0;0;2;31;43885234002;3,04003744;3,740895618;3,343806567;3,764829906;15010,62228;15076;28,370;1112903,893;1074028,943;1053946,63;1056632,216;1066837,799
3201110;984742,5826;0;106;1;6;1;29;19186153802;4,310905951;4,787568406;4,208932175;4,678307755;14942,21691;14965,67191;26,163;1030818,894;993716,1906;917263,3036;970460,8358;995690,4266
3201120;690631,0831;0;93;1;0;1;20;12751793550;3,480465398;4,068178714;3,500070661;4,325595783;15042,00531;15113;29,110;741689,9565;749699,7406;717814,2522;745544,1307;751488,8786
3201130;2021309,584;0;69;0;0;0;35;1,79025E+11;6,96375724;7,710821594;6,978451687;8,441315283;15298,66869;15307,08546;32,992;1336036,131;1341983,291;1418378,507;1352206,386;1339596,965
3201140;706845,9205;0;104;0;1;0;36;3981049177;4,095420455;4,507343566;3,878635386;4,421082888;15150,43518;15168;30,210;732971,1528;729756,1344;719647,434;729438,3531;734956,717
3201150;847155,8561;0;45;0;0;1;2;10849340135;0,689366612;0,770327429;0,767042457;0,976944885;15081,28664;15106,66667;28,983;857386,4917;841776,7486;849679,3314;840653,5407;845798,7592
3201160;872281,5391;0;38;3;2;3;6;12019662491;1,047305266;1,189447593;1,163501331;1,261127083;15252,04872;15234,37844;31,538;895553,9464;865318,6192;898184,0918;872462,0124;884009,1605
3201161;809856,0849;0;51;8;1;4;6;42232073819;0,59278664;0,633720398;0,679729415;0,735692355;15156,86385;15149,11111;29,832;880078,0614;811262,262;853589,0304;815896,0103;851214,6006
3201170;628994,1831;0;63;2;2;4;8;5222083751;1,999473039;2,308717594;2,147967365;2,373758165;15253,60796;15244,66534;31,743;657089,4322;654722,0193;658168,4617;658420,4575;662381,237
3201180;1629874,39;0;36;1;7;3;111;22508700506;8,13832165;9,531012911;8,8674125;9,243266838;15399,82391;15383,75;34,525;1714866,627;1500124,657;1549269,357;1509377,121;1593638,915
3201181;909087,9206;0;45;0;0;1;27;8613963273;3,872126161;4,526189004;4,262488528;4,513970538;15253,37235;15237;31,590;934858,4879;921778,23;925002,8245;924418,1817;932135,0558
3201190;3290644,272;0;43;0;12;1;105;3,92202E+11;11,08193651;12,1945706;11,85486002;12,36543245;15434,71436;15435;35,550;2167612,445;1592541,363;1667632,218;1615436,269;1827529,835
3201200;1294985,131;0;82;4;3;3;42;5986495505;5,66234694;6,205788217;5,705801137;6,394847937;15303,49482;15256,5;31,980;1288104,606;1272112,715;1279859,957;1272704,217;1279218,769
3201210;1850968,878;0;33;1;10;0;122;23267910602;12,34799749;13,44900849;12,13584862;13,37597178;15411,81198;15391;34,670;1931985,911;1721209,213;1718230,955;1721220,207;1813212,966
3201220;1597460,001;0;20;1;2;0;75;24022629395;10,60449875;12,36195399;11,02552113;12,99109668;15385,47228;15384,33333;34,537;1592433,054;1517901,921;1520878,284;1522265,735;1556882,122
3201221;989094,32;0;19;1;1;3;22;10708467436;7,539326331;8,919044355;8,13871791;9,43656817;15336,50877;15331,41667;33,478;1010560,82;1026376,543;1016145,349;1030866,314;1030692,555
3201230;870710,6673;0;12;0;0;0;6;6772833736;4,97808543;5,72210794;5,072220593;5,939850548;15268,54948;15293;32,710;886317,4783;893311,9456;893715,077;897076,7055;897564,3501
3201231;1027129,418;0;10;0;0;0;4;38650224262;2,69524782;3,105421198;2,974274387;3,72405445;15216,85666;15221,5;31,280;1016537,885;982641,173;1031281,377;990693,0838;1000275,474
3201240;1041685,442;0;22;0;4;0;28;11294345917;6,273171752;7,215139055;6,647948729;7,585122549;15330,69694;15329;33,430;1079949,444;1057301,736;1062615,528;1063248,313;1077328,661
3201241;1335918,708;1;70;1;0;0;13;67724968482;3,227534956;3,731207102;3,504955883;4,047488525;15254,08631;15248,43775;31,819;1186639,607;1113483,881;1213855,34;1125886,695;1153701,853
3201250;1192359,914;0;19;0;5;1;30;32272062853;6,48561539;7,297436818;7,002311971;7,611605567;15323,56299;15336;33,570;1232973,639;1169156,202;1198016,067;1181129,042;1209536,331
3201260;1003197,395;0;106;0;0;23;11;7123308203;1,980363056;2,125576415;1,951790289;2,178148724;15177,58913;15198,24486;30,815;959198,0578;988316,5985;1003301,385;990196,0475;967538,4039
